Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
Ic1cccnc1	mol_ID_60	Clc1cccnc1	mol_ID_12	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.85	1.00
Ic1cccnc1	mol_ID_60	C#Cc1cccnc1	mol_ID_27	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	1.00
Ic1cccnc1	mol_ID_60	Brc1cccnc1	mol_ID_36	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.85	1.00
Ic1cccnc1	mol_ID_60	Ic1cccnc1	mol_ID_60	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C#Cc1ccncc1	mol_ID_61	Clc1ccncc1	mol_ID_20	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	1.00
C#Cc1ccncc1	mol_ID_61	C=Cc1ccncc1	mol_ID_37	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.73	1.00
C#Cc1ccncc1	mol_ID_61	Brc1ccncc1	mol_ID_44	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	1.00
C#Cc1ccncc1	mol_ID_61	C#Cc1ccncc1	mol_ID_61	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C#Cc1ccncc1	mol_ID_61	Ic1ccncc1	mol_ID_68	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	1.00
N#Cc1cncnc1	mol_ID_62	Clc1cncnc1	mol_ID_6	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	0.53
N#Cc1cncnc1	mol_ID_62	C#Cc1cncnc1	mol_ID_15	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.86	0.53
N#Cc1cncnc1	mol_ID_62	Brc1cncnc1	mol_ID_22	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	0.53
N#Cc1cncnc1	mol_ID_62	Ic1cncnc1	mol_ID_38	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	0.53
N#Cc1cncnc1	mol_ID_62	N#Cc1cncnc1	mol_ID_62	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
N#Cc1cncnc1	mol_ID_62	C=Cc1cncnc1	mol_ID_78	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.80	0.53
C#Cc1cnccn1	mol_ID_63	Clc1cnccn1	mol_ID_23	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	1.00
C#Cc1cnccn1	mol_ID_63	C=Cc1cnccn1	mol_ID_29	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.80	1.00
C#Cc1cnccn1	mol_ID_63	Brc1cnccn1	mol_ID_31	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	1.00
C#Cc1cnccn1	mol_ID_63	Ic1cnccn1	mol_ID_39	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	1.00
C#Cc1cnccn1	mol_ID_63	C#Cc1cnccn1	mol_ID_63	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C#Cc1cnccn1	mol_ID_63	N#Cc1ccccn1	mol_ID_76	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.79	0.60
C=Cc1cnc[nH]1	mol_ID_64	Brc1ncc[nH]1	mol_ID_8	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.67	0.67
C=Cc1cnc[nH]1	mol_ID_64	Brc1c[nH]cn1	mol_ID_16	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	0.71
C=Cc1cnc[nH]1	mol_ID_64	Ic1ncc[nH]1	mol_ID_24	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.67	0.67
C=Cc1cnc[nH]1	mol_ID_64	Ic1c[nH]cn1	mol_ID_32	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	0.71
C=Cc1cnc[nH]1	mol_ID_64	Clc1c[nH]cn1	mol_ID_53	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	0.71
C=Cc1cnc[nH]1	mol_ID_64	C=Cn1ccnc1	mol_ID_56	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.64	0.67
C=Cc1cnc[nH]1	mol_ID_64	C=Cc1cnc[nH]1	mol_ID_64	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C=Cc1cnc[nH]1	mol_ID_64	Clc1ncc[nH]1	mol_ID_71	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.67	0.67
C=Cc1cnc[nH]1	mol_ID_64	C=Cc1cncs1	mol_ID_84	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.55	0.67
C=Cc1cn[nH]c1	mol_ID_65	Clc1cn[nH]c1	mol_ID_9	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.73	1.00
C=Cc1cn[nH]c1	mol_ID_65	C#Cc1cn[nH]c1	mol_ID_10	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.84	1.00
C=Cc1cn[nH]c1	mol_ID_65	Brc1cn[nH]c1	mol_ID_17	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.73	1.00
C=Cc1cn[nH]c1	mol_ID_65	C#Cc1ccn[nH]1	mol_ID_18	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.80	0.67
C=Cc1cn[nH]c1	mol_ID_65	Brc1ccn[nH]1	mol_ID_25	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	0.67
C=Cc1cn[nH]c1	mol_ID_65	Ic1cn[nH]c1	mol_ID_33	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.73	1.00
C=Cc1cn[nH]c1	mol_ID_65	Ic1ccn[nH]1	mol_ID_41	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	0.67
